"Male" "Female"
"exercise" 1 0
"exhausted" 0 2
"exile" 1 1
"exist" 3 1
"exit" 20 21
"exitscut" 1 2
"expand" 0 1
"expect" 12 9
"expectedjaime" 1 0
"expedition" 3 0
"expelled" 2 0
"expense" 1 0
"experience" 10 4
"expert" 1 0
"explain" 5 1
"explanation" 1 0
"explode" 1 1
"explore" 0 1
"explosion" 4 3
"exposes" 1 0
"express" 1 1
"ext" 5 5
"extends" 0 3
"extensive" 0 1
"extent" 2 0
"extra" 1 0
"extremely" 1 0
"eye" 43 23
"eyebrows" 1 0
"eyescut" 0 1
"eyesyara" 1 0
"eyrie" 2 2
"fabric" 2 0
"facade" 1 0
"face" 72 60
"faceext" 1 0
"faceint" 1 0
"facejaime" 1 0
"faceless" 3 3
"facemelisandre" 0 1
"facesarya" 0 1
"fact" 3 1
"fades" 6 2
"fail" 12 7
"failure" 4 0
"faint" 1 1
"fair" 7 4
"faith" 14 19
"fake" 2 1
"falconlittlefinger" 1 0
"fall" 19 17
"fallen" 4 0
"false" 3 1
"familiar" 2 0
"families" 31 31
"famished" 1 0
"famous" 5 2
"fanatic" 5 7
"fantasies" 0 1
"faol" 1 0
"far" 20 11
"fare" 2 1
"farewell" 3 4
"farewellqyburn" 1 0
"farm" 5 0
"farmers" 1 0
"farmhouse" 4 0
"fart" 1 1
"farther" 1 0
"fashion" 1 0
"fast" 0 1
"faster" 1 0
"fastest" 1 0
"fat" 3 1
"fate" 4 2
"father" 127 86
"fatherjaime" 0 1
"fatherlaws" 0 1
"fatherloras" 0 1
"fatherned" 1 0
"fatherosha" 0 1
"fatherstannis" 0 1
"fathom" 1 0
"fatsam" 1 0
"fault" 2 1
"favor" 4 2
"favorite" 1 0
"favoriteellaria" 0 1
"favours" 1 0
"fear" 11 8
"feararya" 1 0
"fearless" 1 0
"fearsome" 1 0
"feastsjon" 0 1
"fed" 4 3
"fedblack" 1 0
"feed" 5 3
"feedmaester" 1 0
"feel" 16 14
"feeljon" 0 1
"feet" 9 5
"feetarya" 0 1
"feetcut" 1 0
"fell" 2 0
"fellow" 5 1
"felt" 0 6
"female" 0 1
"fend" 0 1
"fermented" 3 0
"ferocious" 1 0
"ferried" 2 0
"fetch" 1 1
"fewer" 2 2
"fewerjorah" 1 0
"fickle" 1 0
"fiddles" 0 1
"field" 8 2
"fierceness" 1 0
"fight" 110 65
"fighter" 9 2
"fighterdavos" 1 0
"fightingpodrick" 1 0
"fightingrobett" 1 0
"fightjaime" 1 0
"fightsn" 1 0
"fightwun" 1 0
"figure" 3 3
"figureeight" 1 0
"figurine" 5 5
"fileting" 1 0
"filicide" 1 0
"fill" 4 3
"fillser" 1 0
"filtering" 0 1
"filth" 1 0
"final" 7 5
"financial" 0 1
"find" 56 28
"fine" 18 2
"finedaario" 1 0
"finelooking" 2 0
"finest" 3 0
"finetheon" 1 0
"fineyohn" 1 0
"finger" 2 1
"finish" 5 4
"fire" 36 17
"fireint" 0 1
"firepit" 1 0
"fireplace" 2 2
"firestormsellaria" 1 0
"firewood" 1 0
"firm" 1 0
"first" 59 21
"firstborn" 2 0
"firstosha" 0 1
"fish" 8 2
"fisherman" 1 0
"fishwives" 1 0
"fist" 2 0
"fit" 3 2
"five" 4 0
"fix" 1 1
"flag" 1 1
"flame" 9 13
"flapping" 0 1
"flash" 1 0
"flask" 2 0
"flat" 1 0
"flayed" 2 3
"flea" 4 0
"fleabite" 1 1
"fled" 1 2
"flee" 3 0
"fleet" 12 3
"flesh" 5 0
"flew" 1 0
"flies" 9 6
"flight" 1 1
"flips" 1 2
"flogged" 1 0
"flood" 2 0
"floor" 10 8
"flotsam" 0 1
"flowers" 1 0
"flown" 1 1
"flung" 0 1
"focus" 1 0
"fog" 1 0
"folk" 14 4
"follow" 42 11
"followcut" 0 1
"followdavos" 1 0
"fond" 2 0
"food" 12 10
"foodjaime" 1 0
"fool" 19 10
"foolish" 1 0
"foot" 14 1
"footsoldiers" 1 0
"footsteps" 1 1
"footworkbronn" 1 0
"forbade" 2 0
"forbidden" 3 0
"forbiddenmarwyn" 1 0
"force" 20 10
"forearm" 2 0
"forefathers" 1 0
"forehead" 3 2
"foreign" 9 1
"forel" 0 1
"forest" 10 1
"forever" 4 4
"forfeited" 1 0
"forge" 3 2
"forget" 5 3
"forgive" 13 17
"forgiven" 3 1
"forgot" 1 1
"forgotten" 0 3
"form" 0 2
"formalities" 0 1
"former" 8 5
"formidable" 2 0
"fornicating" 2 0
"forsaken" 0 1
"fort" 1 1
"forth" 1 1
"forthcoming" 1 0
"fortification" 1 0
"fortnight" 2 1
"fortress" 1 1
"fortune" 4 3
"fortunebenjen" 1 0
"fortunemissandei" 0 1
"forward" 11 11
"fought" 20 6
"foul" 3 2
"found" 17 8
"foundations" 1 0
"foundtyrion" 1 0
"fountain" 0 1
"four" 5 1
"fourth" 3 0
"fouthen" 1 0
"fragile" 1 0
"frantically" 1 0
"fratricide" 1 0
"fraud" 0 1
"fray" 2 0
"free" 34 12
"freed" 1 2
"freedom" 4 3
"freerider" 1 0
"freeze" 5 1
"fresh" 2 3
"frey" 17 4
"fried" 0 1
"friend" 56 16
"friendcut" 1 0
"friendsgregor" 1 0
"friendship" 1 0
"frighten" 2 4
"fro" 1 0
"front" 24 17
"frost" 1 0
"frozen" 1 1
"frustrating" 1 0
"frustratingellaria" 0 1
"fuck" 56 6
"fucker" 4 0
"fuckmad" 1 0
"fulfill" 2 0
"full" 10 5
"fullcut" 0 1
"fullgrown" 1 0
"funbits" 0 1
"funds" 1 0
"funeral" 7 2
"funnel" 4 0
"funnier" 3 4
"funniest" 1 0
"furious" 2 0
"furthering" 1 0
"fuss" 0 1
"futility" 1 0
"future" 6 7
"gag" 0 4
"gain" 2 1
"gallant" 0 1
"galleys" 1 0
"gallop" 2 2
"gambit" 1 0
"gamble" 3 0
"gambler" 5 0
"game" 13 10
"gametyrion" 1 0
"gang" 1 0
"garden" 4 6
"gardensellaria" 1 0
"gardensext" 1 0
"gardensjaime" 1 0
"garlic" 0 1
"garment" 0 1
"garrison" 1 0
"gasps" 4 5
"gate" 40 6
"gatea" 1 0
"gatearya" 0 1
"gateint" 1 0
"gateone" 1 0
"gather" 19 6
"gave" 24 14
"gazes" 2 0
"gemstone" 1 0
"gender" 0 1
"general" 5 0
"generation" 5 0
"generosity" 1 0
"generous" 2 2
"gentle" 0 1
"gestures" 6 0
"gets" 45 24
"ghost" 1 3
"giant" 9 0
"gift" 8 5
"giftjaqen" 1 0
"giftsjaqen" 1 0
"giggle" 2 0
"gillyflower" 1 0
"ginger" 3 0
"gingerbread" 1 0
"gingereveryone" 1 0
"girl" 76 39
"girlarya" 0 1
"girlsandor" 1 0
"give" 55 26
"given" 6 9
"glad" 10 6
"gladiators" 1 1
"glance" 7 0
"glares" 2 1
"glass" 26 9
"glimmer" 2 0
"glorious" 7 2
"glover" 2 2
"gloves" 2 0
"glow" 1 0
"goat" 3 0
"gocut" 1 0
"god" 43 20
"godint" 1 0
"godless" 1 0
"godmelisandre" 1 0
"godscressen" 0 1
"godswayjorah" 1 0
"godswood" 3 1
"godswoodsansa" 0 1
"goes" 9 8
"goesext" 1 0
"goingext" 0 1
"goint" 2 1
"gojorah" 1 0
"gold" 24 15
"goldbalon" 1 0
"goldcloaks" 1 0
"golden" 3 1
"goldhatted" 1 0
"goldplated" 1 0
"gone" 15 7
"gonecut" 1 0
"gonemelara" 0 1
"gonemelisandre" 1 0
"gonna" 8 2
"good" 121 73
"goodbye" 5 3
"goodext" 0 1
"goodlooking" 1 0
"goodolen" 0 1
"goodtyrion" 1 0
"gorgeous" 0 1
"gorgeoustyene" 1 0
"gosmalljon" 1 0
"gossip" 1 3
"got" 38 15
"gotjon" 0 1
"gotten" 1 0
"gouged" 0 1
"gown" 0 1
"grab" 25 14
"grace" 67 15
"gracecut" 0 1
"gracejaime" 1 0
"gracejon" 1 0
"graceserve" 1 0
"gracestannis" 1 0
"gracetwo" 0 1
"gracetyrion" 1 0
"grain" 1 1
"granaries" 1 0
"grand" 2 3
"grandchildren" 0 1
"granddaughter" 2 3
"grandfather" 2 3
"grandmother" 0 6
"grandson" 0 4
"grant" 3 1
"grape" 2 0
"grasp" 1 2
"grass" 5 1
"grateful" 2 3
"gratitude" 0 1
"graveyard" 1 1
"gray" 1 0
"grayscale" 1 0
"great" 69 37
"greater" 3 3
"greatest" 2 2
"greatgrandfather" 1 0
"green" 1 5
"greet" 1 1
"gregor" 7 14
"gregorgregor" 0 1
"grenn" 7 0
"grennmance" 1 0
"grew" 3 2
"grey" 35 8
"greyguard" 3 0
"greyjoy" 21 14
"greyjoylast" 1 0
"greyjoytheon" 1 0
"greyscale" 13 2
"greyscalemarwyn" 1 0
"grins" 0 1
"grips" 1 0
"groans" 1 3
"gropes" 0 1
"ground" 21 19
"groundint" 1 0
"group" 10 7
"grovel" 1 0
"grow" 7 2
"growl" 5 3
"growlsext" 1 0
"grown" 6 3
"grumpkins" 1 1
"grunts" 3 4
"guarantee" 0 1
"guard" 30 15
"guess" 2 2
"guest" 3 2
"gueststhree" 1 0
"guidance" 1 0
"guide" 2 1
"guilt" 1 0
"gurgling" 1 0
"gut" 7 2
"gutters" 2 0
"gyrfalcon" 1 0
"hack" 3 0
"hadnt" 0 1
"hair" 13 6
"hairsam" 1 0
"hairtyrion" 1 0
"half" 17 8
"halfbreed" 1 0
"halfbrother" 1 2
"halfcircle" 1 0
"halfhand" 1 0
"halfway" 0 1
"hall" 13 8
"hallalliser" 1 0
"hallarya" 1 0
"hallramsay" 0 1
"hallroose" 1 1
"hallsansa" 1 0
"hallthe" 1 0
"hallway" 7 1
"hallwaya" 1 0
"hallwayan" 1 0
"hallwayramsay" 1 0
"hallwaythe" 0 1
"hallwaytheon" 1 0
"hallyara" 1 0
"halt" 3 0
"ham" 3 0
"hammer" 3 0
"hammocks" 0 1
"hand" 100 47
"handext" 2 0
"handle" 2 0
"handlyan" 1 0
"handmaiden" 5 1
"handpainted" 0 1
"handsmeryn" 1 0
"handsome" 1 2
"handsomeellaria" 0 1
"handtheon" 1 0
"handwriting" 0 1
"hang" 18 4
"happen" 36 24
"happeningext" 0 1
"happensdaario" 1 0
"happier" 25 17
"happinessdaario" 1 0
"harald" 1 0
"harbor" 10 2
"harborarya" 1 0
"hard" 24 4
"harder" 1 0
"hardhome" 12 0
"hardint" 1 0
"harm" 2 1
"harvest" 1 0
"hate" 19 12
"hatesandor" 1 0
"hatred" 0 1
"haul" 0 1
"haunt" 1 0
"havent" 9 5
"head" 63 28
"headcut" 0 1
"headext" 0 1
"headint" 1 0
"headmans" 1 0
"headsone" 0 1
"healed" 1 2
"hear" 35 19
"heard" 41 17
"heart" 21 9
"hearth" 1 2
"heartsbane" 1 2
"heartyrion" 0 1
"heathens" 1 0
"heavier" 1 0
"heavily" 3 2
"heavy" 1 0
"hed" 1 0
"heeds" 1 0
"heel" 1 1
"height" 1 0
"heir" 12 4
"held" 6 1
"hell" 17 6
"hello" 5 2
"helm" 1 0
"helmet" 4 4
"helmetint" 1 0
"help" 64 30
"helpcersei" 0 1
"helpcut" 0 1
"helpim" 1 0
"helptyrion" 1 0
"heres" 3 0
"hero" 3 3
"heroic" 1 0
"heroism" 0 1
"hesitates" 5 3
"hey" 1 0
"heywun" 1 0
"hghar" 1 4
"hgharcut" 0 1
"hid" 0 1
"hidden" 2 0
"hide" 3 5
"hideous" 0 1
"high" 29 43
"highborn" 2 0
"higher" 1 0
"highest" 2 0
"highgarden" 5 9
"hill" 8 1
"hillbrienne" 1 0
"hillcut" 1 1
"hillssansa" 1 0
"hilt" 1 0
"hips" 0 1
"hire" 2 1
"histories" 10 0
"hit" 14 16
"hizdahr" 1 4
"hmm" 6 1
"hmmarya" 0 1
"hmmmarwyn" 1 0
"hobble" 1 1
"hod" 0 1
"hodor" 29 12
"hodoranother" 1 0
"hodorcut" 1 0
"hodorhodor" 1 0
"hodorleaf" 1 0
"hodormeera" 1 0
"hodoryoung" 1 0
"hold" 51 34
"holdfast" 4 0
"hole" 8 1
"holiness" 3 7
"home" 40 32
"homechild" 1 0
"homecoming" 0 1
"homedrogon" 0 1
"homeext" 1 0
"homejaqen" 0 1
"homeland" 2 0
"homemelessa" 1 0
"homilies" 0 1
"honest" 4 1
"honestyjon" 1 0
"honeycomb" 1 0
"honor" 22 8
"honortyrion" 1 0
"hood" 3 0
"hook" 2 0
"hope" 21 8
"horde" 3 3
"hordejorah" 1 0
"horn" 5 5
"hornfoots" 1 0
"hornhill" 1 0
"horribly" 3 5
"horrified" 1 0
"horror" 4 2
"horse" 51 22
"horseback" 6 2
"hostage" 0 1
"hostagescut" 0 1
"hoster" 2 1
"hostilities" 2 0
"hot" 5 6
"hound" 13 3
"houndcut" 0 1
"houndscut" 1 0
"hour" 6 2
"hourglass" 2 0
"house" 58 39
"hovels" 0 1
"howd" 1 1
"however" 0 1
"howland" 1 0
"howls" 2 0
"hows" 3 2
"huddle" 1 0
"hug" 3 2
"huge" 1 0
"huh" 2 0
"huhcut" 1 0
"hulking" 1 0
"human" 2 1
"humble" 1 1
"humiliated" 2 1
"hundred" 12 5
"hundredfold" 1 0
"hundredyearold" 1 0
"hunt" 8 2
"hunter" 3 0
"hurries" 9 2
"hurt" 6 9
"hurtjorah" 1 0
"husband" 2 9
"husbandsansa" 1 0
"hut" 0 2
"huta" 0 1
"hypocrites" 0 1
"ice" 5 1
"idea" 11 5
"ideally" 2 0
"idearamsay" 1 0
"identity" 2 0
"idiot" 3 1
"idols" 1 0
"ignites" 0 3
"ignore" 0 2
"iit" 0 1
"ill" 47 22
"ilyrio" 2 0
"imagine" 12 7
"immediate" 3 1
"immediatelycersei" 0 2
"immediatelymarwyn" 1 0
"imminent" 1 0
"imp" 4 1
"impact" 0 1
"impasse" 1 0
"impatient" 0 1
"implored" 2 0
"important" 12 5
"importantpodrick" 1 0
"impossible" 3 0
"impregnableunsullied" 1 0
"impressed" 5 1
"imprison" 1 2
"improvise" 2 0
"impure" 1 0
"inadviseable" 0 1
"incantation" 1 0
"incarceration" 0 1
"inches" 4 1
"incinerates" 0 3
"including" 3 0
"incoming" 1 0
"incompetence" 1 0
"inconvenienced" 1 0
"increases" 1 0
"incredible" 0 1
"incredulous" 1 0
"indeed" 5 2
"indefinitely" 1 0
"independent" 2 0
"industrious" 1 0
"infant" 2 1
"infected" 4 0
"inflicted" 0 1
"inform" 5 3
"inherit" 1 0
"injure" 1 1
"injustice" 0 1
"inn" 1 0
"inner" 0 1
"innocent" 4 3
"innpodrick" 1 0
"inquest" 0 1
"inquire" 1 0
"insane" 1 0
"insensate" 1 0
"inside" 9 11
"insists" 1 1
"inspect" 2 2
"inspire" 3 0
"instance" 0 1
"instant" 1 0
"instead" 4 4
"insteadext" 1 0
"instinct" 3 0
"instructionsmarwyn" 1 0
"insult" 6 4
"insultedrobb" 1 0
"int" 8 7
"intact" 0 1
"integrity" 0 1
"intelligent" 2 1
"intend" 5 3
"intention" 1 0
"intercede" 0 1
"intercepted" 1 1
"interest" 8 5
"interior" 1 0
"interpret" 1 1
"interrogatively" 1 0
"interrupt" 4 1
"intimate" 1 0
"intimidate" 1 0
"introduce" 1 0
"invade" 3 1
"invasion" 0 1
"invented" 2 0
"invest" 2 0
"investigate" 0 1
"invincibleqyburn" 1 0
"invited" 6 5
"involve" 1 1
"invulnerable" 0 1
"inward" 1 0
"iron" 35 19
"ironborn" 14 0
"irri" 0 2
"island" 11 6
"isnt" 14 4
"isolation" 0 1
"issue" 0 3
"items" 0 1
"itll" 1 0
"jabs" 0 1
"jack" 1 0
"jackass" 1 0
"jacket" 1 0
"jade" 1 0
"jagged" 0 1
"jaime" 97 43
"jaimecut" 0 1
"jaimejaime" 0 1
"janos" 21 1
"jaqen" 9 15
"jaqenint" 1 0
"jaqn" 0 1
"jar" 0 1
"jaw" 6 0
"jealous" 1 4
"jeor" 2 0
"jerking" 0 1
"joanna" 1 0
"job" 7 2
"joffre" 1 0
"joffrey" 14 14
"jogs" 0 1
"join" 16 6
"jojen" 2 1
"joke" 10 7
"jon" 128 60
"jonjon" 0 2
"jorah" 65 17
"jorahsamwell" 1 0
"joran" 1 0
"journey" 3 2
"joy" 2 0
"judge" 4 3
"judgement" 1 0
"judgments" 1 0
"jug" 1 0
"jump" 11 3
"just" 71 46
"justice" 8 3
"karhold" 0 1
"karsi" 2 0
"karstark" 7 2
"kastark" 1 0
"keels" 0 1
"keen" 0 1
"keep" 54 37
"keepa" 1 0
"keepcersei" 1 0
"keeper" 2 1
"keepqyburn" 0 1
"kegs" 1 0
"kennel" 4 3
"kennelmasters" 1 0
"kennelsramsay" 0 1
"kept" 7 5
"kevan" 4 3
"key" 2 0
"khal" 4 16
"khalasar" 1 3
"khalassar" 0 1
"khaleell" 0 1
"khaleen" 1 2
"khaleesi" 4 3
"khuu" 4 0
"kicks" 5 3
"kidnapped" 3 2
"kidney" 0 1
"kiera" 0 1
"kill" 126 59
"killarya" 0 1
"killedcut" 0 1
"killedint" 1 0
"killedqyburn" 1 0
"killedrobett" 1 0
"killer" 2 1
"kin" 2 1
"kind" 18 13
"kinder" 1 0
"king" 160 96
"kingbeyondwall" 2 0
"kingbeyondwallcersei" 1 0
"kingdom" 27 21
"kingdomalton" 1 0
"kingdomsid" 1 0
"kingdomsmalko" 1 0
"kingdomsmelisandre" 1 0
"kingdomsqyburn" 1 0
"kingjorah" 1 0
"kinglsayers" 1 0
"kingqyburn" 1 0
"kingsguard" 13 3
"kingslayer" 7 0
"kingslayerellaria" 0 1
"kingsmoot" 1 0
"kingsroad" 1 0
"kingsroada" 1 0
"kingtheon" 1 0
"kingtyrion" 1 0
"kinvara" 1 0
"kiss" 19 13
"kitchen" 1 2
"knee" 14 8
"kneecut" 0 1
"kneel" 15 8
"kneeljon" 1 0
"kneeshizdahr" 0 1
"kneestheon" 1 0
"knew" 20 14
"knife" 16 14
"knifecut" 2 0
"knifedaario" 2 0
"knight" 20 12
"knightwalder" 1 0
"knitting" 0 1
"knives" 4 0
"knock" 18 17
"knot" 1 0
"know" 214 146
"knowext" 1 0
"knowledge" 1 1
"known" 8 5
"knowsansa" 1 0
"knowsarya" 0 1
"knowselyse" 0 1
"knuckles" 0 1
"kovarro" 0 1
"kraken" 1 1
"kullback" 1 0
"lab" 2 0
"labcersei" 1 0
"labmore" 1 0
"laboring" 1 0
"labpycelle" 1 0
"labqyburn" 0 1
"labthe" 2 0
"lacks" 0 2
"lad" 12 0
"ladders" 1 0
"ladies" 49 36
"ladybrienne" 0 1
"ladyext" 1 0
"ladypetyr" 2 0
"ladysansa" 1 1
"ladyseveral" 1 0
"lakes" 0 1
"lamb" 1 0
"lamp" 0 1
"lana" 2 1
"lancel" 7 8
"land" 56 28
"landingarya" 0 1
"landingdaario" 1 0
"landingext" 0 1
"landingint" 3 1
"landingtyrion" 1 0
"lane" 1 1
"language" 3 1
"lannisport" 1 0
"lannister" 66 34
"lannisterbronn" 1 0
"lannistercut" 1 0
"lannisterfrey" 1 1
"lannisterint" 0 1
"lannisterscut" 1 0
"lannisterselaria" 0 1
"lannistertyrell" 0 1
"lap" 3 1
"larder" 1 0
"large" 14 7
"larger" 7 1
"largest" 3 1
"lash" 0 1
"last" 54 22
"lastliving" 1 0
"latch" 0 1
"late" 2 3
"lateint" 1 0
"later" 9 4
"laterarya" 1 0
"latter" 1 0
"laugh" 25 11
"laughsint" 0 1
"laughter" 1 0
"laughtercut" 0 1
"launch" 2 1
"law" 6 5
"lay" 10 5
"layer" 3 0
"lazarheen" 1 0
"lead" 25 15
"leader" 8 3
"leadersdaario" 0 1
"leadership" 2 0
"leaf" 2 0
"lean" 2 4
"leaner" 1 0
"learn" 26 12
"learner" 1 0
"least" 8 6
"leather" 2 1
"leatherclad" 1 0
"leathertwo" 1 0
"leave" 55 56
"leavecut" 2 0
"leaveint" 0 1
"leavescut" 0 1
"leavesend" 1 0
"leavesext" 1 0
"leavesint" 1 1
"leavesoutside" 1 0
"leavingcut" 1 0
"led" 3 4
"leeches" 1 0
"leer" 1 0
"left" 21 19
"leftovers" 0 1
"leg" 2 2
"legend" 1 1
"legion" 1 0
"leisure" 1 0
"lem" 6 0
"lender" 1 1
"lens" 0 1
"less" 9 1
"lesser" 1 0
"lesson" 2 0
"let" 61 39
"letter" 10 5
"level" 3 1
"lever" 1 0
"levercersei" 1 0
"lhara" 0 1
"lhazareen" 1 3
"liability" 2 0
"liar" 8 4
"liberating" 1 0
"librarycut" 1 0
"libraryint" 0 1
"librarymarwyn" 0 1
"librarysam" 1 1
"lick" 0 1
"lie" 21 24
"liege" 1 0
"liemelisandre" 0 1
"life" 40 14
"lifejaqen" 1 0
"lifejon" 0 1
"lifejorah" 0 1
"liftedext" 1 0
"lifts" 4 5
"light" 18 20
"lightbringer" 0 1
"lightrobb" 0 1
"like" 166 73
"likelihood" 1 0
"line" 11 4
"lineext" 1 0
"linens" 0 1
"linewun" 1 0
"lingers" 1 1
"lion" 4 2
"lioness" 0 1
"lips" 1 4
"lipstick" 0 1
"liquid" 1 3
"list" 1 6
"listcut" 0 2
"listen" 26 14
"listenramsay" 1 0
"lit" 3 1
"litter" 2 0
"little" 36 29
"littlefinger" 6 7
"live" 36 19
"liver" 2 0
"livessansa" 0 1
"livestock" 1 1
"livingjon" 0 1
"llewyn" 0 1
"loads" 3 0
"loan" 1 0
"loboda" 2 0
"local" 2 0
"locate" 0 2
"lock" 4 3
"lodgecraster" 1 0
"logic" 1 0
"logs" 1 0
"lonely" 0 1
"lonelypan" 1 0
"long" 71 28
"longclaw" 4 0
"longer" 18 6
"longercut" 1 1
"longerthreeeyed" 1 0
"longest" 0 1
"longjorah" 1 0
"longship" 1 0
"look" 238 124
"loop" 1 0
"loose" 7 1
"loraq" 0 1
"loras" 11 18
"lorass" 0 1
"lord" 159 80
"lordbronn" 1 0
"lordjanos" 1 0
"lordmace" 1 0
"lordship" 3 0
"lordstannis" 0 1
"lordwalder" 1 0
"lorimer" 1 0
"lose" 27 8
"loss" 3 1
"lost" 12 7
"lot" 19 10
"lothar" 5 0
"lothor" 1 0
"loud" 4 1
"louder" 1 1
"loudlyint" 1 0
"love" 48 40
"lovedjorah" 1 0
"lover" 3 2
"low" 5 1
"lower" 1 3
"loyal" 7 6
"loyalties" 11 3
"luck" 15 2
"lumbering" 1 0
"lunge" 1 1
"lure" 3 1
"lurking" 1 0
"lustelsewhere" 1 0
"luwin" 2 0
"lyan" 2 0
"lyanna" 1 1
"lysa" 3 2
"mace" 6 1
"machine" 3 0
"mad" 16 7
"madam" 1 0
"made" 45 29
"madman" 1 0
"madmen" 1 0
"maegor" 1 0
"maester" 33 11
"maestor" 1 0
"mag" 2 0
"magic" 4 1
"magicstannis" 0 1
"maiden" 1 0
"main" 5 2
"mainland" 1 0
"maintenance" 1 0
"maison" 1 0
"make" 93 53
"male" 0 1
"malko" 3 0
"mama" 0 1
"mammoths" 2 0
"man" 170 61
"manage" 8 0
"mance" 20 0
"manderlys" 1 0
"mangled" 0 2
"manhole" 1 0
"manjaqen" 1 0
"mankinds" 1 0
"manlong" 1 0
"manner" 2 1
"manpetyr" 1 0
"manramsay" 0 1
"manticore" 0 1
"mantle" 1 2
"manuscripts" 1 0
"manyfaced" 3 2
"manyohn" 1 0
"map" 1 2
"march" 13 7
"margerey" 1 0
"mark" 2 2
"market" 5 0
"marketplace" 2 0
"marriage" 6 7
"marriagedaario" 0 1
"married" 21 11
"martell" 5 3
"martellspycelle" 0 1
"marwyn" 6 1
"mask" 2 2
"maskint" 1 0
"masksmen" 1 0
"masons" 2 0
"mass" 0 1
"massacred" 1 0
"mast" 1 0
"master" 27 20
"mastersgrey" 1 0
"match" 4 2
"material" 0 1
"matricide" 1 0
"matter" 28 13
"mattern" 0 1
"matthos" 5 0
"may" 34 12
"maybe" 24 9
"mayhem" 1 0
"mead" 1 1
"meal" 1 0
"mean" 43 17
"meant" 6 3
"meat" 5 3
"meatint" 1 0
"medical" 2 0
"medicine" 1 1
"meekly" 1 0
"meera" 9 5
"meereen" 28 20
"meereencut" 1 1
"meereenese" 1 1
"meereenkinvara" 1 0
"meereenthe" 2 0
"meereentyrion" 1 0
"meerenint" 1 0
"meet" 22 12
"melees" 1 0
"meless" 0 1
"melessa" 0 1
"melisandre" 25 17
"melisandreext" 1 0
"melon" 1 0
"melt" 2 1
"member" 10 3
"memorize" 2 1
"memory" 2 0
"men" 186 61
"menint" 1 0
"mention" 4 1
"mentyrion" 1 0
"merchant" 3 0
"mercytommen" 1 0
"mereen" 5 1
"merit" 0 1
"meryn" 8 5
"mess" 2 1
"message" 9 3
"messenger" 0 1
"met" 25 6
"metal" 0 1
"meticulous" 1 0
"meynard" 0 2
"mhaegan" 1 0
"mhysa" 6 0
"midday" 1 0
"middle" 5 2
"midst" 0 1
"might" 21 7
"migth" 1 0
"mildly" 1 0
"mile" 13 9
"military" 5 7
"milk" 2 0
"millers" 1 0
"million" 1 1
"minced" 1 0
"mind" 16 6
"mindless" 1 1
"mine" 22 11
"minesandor" 1 0
"minewaif" 0 1
"minge" 1 0
"minks" 1 0
"minstrel" 2 0
"miracles" 1 0
"mirror" 8 0
"misery" 2 0
"miss" 9 9
"missandei" 23 10
"misshapen" 1 0
"mission" 4 3
"missteps" 0 1
"misstyene" 0 1
"mistake" 8 10
"mistaken" 1 0
"mistakensomeone" 1 0
"mistress" 1 1
"mites" 1 0
"mixture" 1 0
"mlord" 1 0
"mmhmm" 1 1
"mmhmmm" 1 0
"mmm" 2 3
"moaning" 1 0
"moat" 6 2
"mob" 1 0
"mobilize" 1 0
"mock" 4 2
"mockingbird" 0 1
"model" 1 0
"modest" 0 1
"moles" 3 2
"molestown" 0 1
"mom" 2 1
"moment" 34 18
"momentcersei" 1 0
"momentmelisandre" 1 0
"momma" 0 5
"mommaellaria" 0 1
"mommaobara" 0 1
"monarch" 2 2
"money" 8 5
"mongers" 0 1
"monitored" 0 1
"monster" 4 7
"months" 3 1
"monthsjaime" 1 0
"mood" 3 0
"moon" 2 1
"moors" 1 0
"mopatis" 1 0
"mordane" 0 1
"morghulis" 0 2
"mormont" 17 2
"mormontjorah" 2 0
"mormontsamwell" 1 0
"morning" 7 5
"morningjaime" 0 1
"morningsnow" 0 1
"morningstanniss" 1 0
"moro" 0 3
"moron" 2 0
"mortared" 1 0
"moss" 0 1
"mossador" 0 1
"mostly" 1 0
"mother" 44 48
"motherbrienne" 1 0
"motherint" 1 0
"motherless" 1 0
"motherramsay" 1 0
"mothertommen" 0 1
"motion" 3 1
"motionless" 1 0
"motivations" 1 0
"mount" 4 1
"mountain" 9 7
"mountainside" 1 0
"mourn" 3 3
"mouse" 0 1
"mouth" 9 9
"moutharya" 0 1
"move" 23 7
"movejon" 1 0
"movingnoticing" 1 0
"mowing" 1 0
"much" 46 15
"muchcut" 1 0
"muchjorah" 1 0
"muck" 1 0
"mud" 1 0
"mule" 1 0
"multiple" 3 0
"mumbling" 0 2
"munkun" 0 1
"mural" 1 2
"murder" 39 31
"murmur" 7 1
"mute" 0 1
"mutilate" 1 1
"mutiny" 1 0
"muttering" 1 0
"mutton" 2 0
"myr" 1 0
"myranda" 6 5
"myrcella" 13 10
"myrcellacut" 1 1
"myrcellamyrcella" 1 0
"myrcellatyene" 1 0
"mysteries" 1 0
"naarth" 2 2
"naathtyrion" 1 0
"naharis" 0 1
"naharisdaario" 0 1
"naked" 4 5
"nakloz" 2 0
"namatyene" 0 1
"name" 52 40
"namearya" 0 2
"nameint" 1 0
"namejaqen" 0 1
"nametommen" 0 1
"namewalder" 1 0
"nan" 0 1
"nanciessandor" 1 0
"narrating" 2 0
"narrow" 3 2
"nature" 3 0
"naval" 0 1
"near" 10 3
"nearest" 1 1
"necessarily" 1 3
