"Male" "Female"
"bauble" 1 0
"bay" 6 4
"bayjaime" 1 0
"bayships" 0 1
"beach" 4 3
"beachdavos" 1 0
"beachelaria" 1 0
"beachhead" 1 0
"beachyara" 1 0
"bear" 7 7
"beard" 5 0
"beast" 7 1
"beat" 12 8
"beaten" 1 1
"beautiful" 15 12
"beautifulshireen" 0 1
"became" 5 0
"become" 14 6
"becomejaqen" 1 0
"bed" 17 5
"bedpans" 1 0
"bedroom" 1 1
"bedroomclose" 0 1
"bedroomsam" 1 0
"bedside" 1 0
"beef" 1 0
"beer" 1 0
"beetle" 5 0
"befalling" 1 0
"beg" 10 7
"began" 4 0
"beggar" 2 2
"begin" 71 45
"begrudgingly" 0 2
"begun" 2 3
"behalf" 0 5
"behead" 7 1
"beheadedsansa" 1 0
"behind" 37 27
"beholden" 1 0
"belching" 0 1
"belichos" 1 0
"belief" 1 1
"believe" 56 22
"bell" 4 4
"bellsam" 1 0
"bellyoung" 1 0
"belong" 14 9
"beloved" 5 4
"belt" 3 0
"bench" 1 3
"bend" 10 4
"beneath" 10 2
"benjen" 8 0
"benjenyoung" 1 0
"beric" 12 0
"berries" 1 0
"beside" 17 10
"besiege" 1 0
"best" 27 7
"bet" 10 2
"betray" 8 14
"betrothed" 3 0
"better" 50 26
"bettertheon" 1 0
"beyond" 17 4
"bharbokhal" 0 1
"bianca" 0 1
"bicker" 1 1
"bidder" 2 1
"big" 10 2
"bigger" 2 0
"biggest" 2 3
"binds" 3 0
"bird" 12 4
"birth" 4 3
"birthmark" 1 0
"bit" 27 9
"bitch" 1 2
"bitchescersei" 0 1
"bite" 5 1
"biters" 0 1
"bitter" 2 0
"black" 51 27
"blackclose" 1 0
"blackened" 1 0
"blackfish" 12 5
"blackint" 1 2
"blackpycelle" 1 0
"blacksmitha" 3 1
"blackthe" 1 0
"blackwater" 9 3
"blackwaterdoran" 1 0
"blade" 5 2
"bladesalliser" 1 0
"blame" 3 3
"blameless" 1 0
"blanket" 0 1
"blast" 1 0
"bled" 2 0
"bleed" 3 7
"blemishes" 1 0
"blend" 2 0
"blessings" 1 2
"blind" 4 3
"blindramsay" 1 0
"blink" 1 1
"blissful" 0 1
"blisters" 1 0
"bloat" 0 1
"block" 11 3
"blockade" 1 0
"blond" 2 1
"blood" 20 23
"bloodcut" 1 0
"bloodline" 1 0
"bloodmagicbrienne" 0 1
"bloodrider" 1 1
"bloodshed" 0 1
"blow" 4 10
"blue" 3 1
"blur" 1 1
"boar" 1 0
"board" 1 1
"boat" 12 9
"boatat" 0 1
"boattyrion" 0 1
"bodies" 28 16
"bodycut" 1 0
"bodyext" 1 0
"boil" 0 2
"bold" 3 1
"bolster" 1 0
"bolt" 2 2
"bolton" 35 21
"boltonramsay" 1 0
"bond" 0 2
"bone" 7 4
"book" 10 11
"bookshelves" 1 0
"boot" 7 3
"boottheon" 1 0
"bore" 5 7
"born" 20 7
"bornint" 1 0
"borrowed" 1 1
"bother" 0 1
"bottle" 1 4
"bottom" 10 0
"bought" 2 3
"bound" 4 0
"bow" 8 6
"bowel" 0 1
"bowl" 1 4
"bowman" 1 0
"box" 5 0
"boy" 69 25
"boyarya" 1 0
"boycersei" 0 1
"boycut" 2 0
"boyedmure" 1 0
"boyext" 0 1
"boyfucker" 1 0
"boyramsay" 0 1
"boysbrienne" 1 0
"boytrystane" 0 1
"braavos" 5 2
"braavosi" 1 0
"braavosint" 1 0
"braavosmace" 1 0
"bracelet" 1 0
"bracken" 2 0
"bran" 30 26
"brandishes" 5 0
"brandon" 1 1
"brave" 2 2
"breach" 3 1
"bread" 0 1
"break" 7 5
"breaker" 3 2
"breakfastbronn" 1 0
"breast" 2 2
"breastplates" 0 1
"breath" 6 10
"breed" 2 0
"breeze" 1 0
"brian" 3 0
"bride" 3 0
"bridge" 2 1
"brienne" 23 19
"bright" 0 1
"brilliant" 2 0
"bring" 39 25
"brink" 1 0
"broke" 8 1
"broken" 7 2
"bronn" 43 15
"bronze" 1 0
"brooch" 0 1
"brood" 4 2
"broom" 1 0
"brothel" 14 3
"brothela" 1 0
"brothelarya" 1 0
"brothelext" 1 0
"brotheljanos" 0 1
"brothellittlefinger" 0 1
"brothelthe" 1 0
"brother" 63 52
"brotherhood" 9 0
"brothersansa" 1 0
"brotherscut" 0 1
"brotherstheon" 1 0
"brough" 1 0
"brought" 14 11
"brown" 0 2
"bruises" 1 1
"brune" 1 0
"brush" 1 2
"brutal" 2 1
"brynden" 12 2
"bucket" 2 4
"buckle" 1 0
"bug" 1 0
"build" 9 2
"builder" 1 1
"built" 11 0
"bulk" 2 0
"bunch" 2 0
"bunghole" 1 0
"bur" 1 0
"buries" 6 4
"burn" 27 16
"burnedramsay" 1 0
"burnt" 0 2
"bursts" 1 0
"business" 9 2
"bust" 1 1
"butcher" 4 4
"butt" 1 0
"butterflies" 1 0
"butterhodor" 0 1
"buttocks" 1 0
"buy" 6 2
"buyer" 1 1
"buzzing" 1 0
"byron" 2 0
"cabin" 2 2
"cabinjon" 1 0
"cabinwights" 1 0
"caches" 1 0
"cage" 5 6
"cailin" 3 2
"cailinext" 1 0
"call" 22 22
"calm" 0 1
"came" 24 25
"camera" 7 5
"camp" 10 3
"campaign" 0 1
"campdavos" 1 0
"campfire" 4 0
"campsam" 0 1
"campsitepodrick" 0 1
"campstannis" 0 1
"campthe" 0 1
"canals" 0 1
"candidates" 1 0
"candied" 1 0
"candle" 8 7
"candlelight" 1 0
"candlescut" 0 2
"cane" 1 1
"cap" 0 1
"capable" 1 0
"capital" 8 8
"capitalbronn" 0 1
"capsized" 1 0
"capsizescut" 0 1
"captain" 5 9
"captive" 4 0
"captivityjaime" 1 0
"captor" 1 0
"capture" 6 0
"caravans" 0 1
"care" 18 15
"career" 1 0
"careless" 0 1
"caresses" 1 1
"carriage" 2 7
"carriagetyrion" 1 0
"carries" 23 17
"cart" 7 1
"cartint" 0 1
"carve" 6 1
"case" 4 0
"cask" 1 1
"casket" 0 1
"cast" 5 2
"casterly" 13 5
"castle" 73 19
"castleext" 1 0
"castlelothar" 1 0
"casual" 1 0
"cat" 2 1
"catacombs" 0 2
"catacombstyrion" 1 0
"catapult" 1 0
"catch" 5 5
"catelyn" 7 5
"caught" 1 0
"cause" 12 1
"caution" 0 1
"cautiously" 1 0
"cavalryman" 1 0
"cave" 3 2
"cavebran" 1 0
"cavehodors" 1 0
"cavethe" 1 0
"ceiling" 2 1
"celebrate" 3 1
"cell" 9 14
"cellcersei" 1 2
"cellint" 1 0
"cellsqyburn" 1 0
"cellsthe" 0 1
"center" 5 4
"centeredd" 1 0
"centuries" 8 3
"centuriescut" 0 1
"cersei" 51 75
"cerseicersei" 1 0
"certain" 7 3
"cerwyn" 2 1
"chain" 11 9
"chainext" 1 0
"chainmail" 1 0
"chainsjon" 1 0
"chair" 5 3
"challenge" 1 0
"chamber" 17 10
"chambera" 0 1
"chamberarya" 0 1
"chambercersei" 2 1
"chamberjaime" 0 1
"chamberjaqen" 0 1
"chamberjon" 1 1
"chamberkevan" 0 1
"chambermelisandre" 1 0
"chambersmyranda" 0 1
"chambersomeone" 0 1
"chamberssansa" 0 1
"chamberstheon" 1 1
"chamberstommen" 0 1
"chamberthe" 1 1
"chambertheon" 1 0
"chambertommen" 0 1
"chambertrystane" 0 1
"chambertyrion" 2 1
"chance" 8 3
"chancesint" 1 0
"change" 9 9
"changedcut" 1 0
"chant" 2 0
"chap" 1 0
"chapel" 0 1
"characters" 1 0
"charge" 18 8
"charmer" 2 0
"charmingdavos" 1 0
"chases" 2 0
"chatter" 0 2
"check" 1 2
"cheek" 1 3
"cheekbones" 1 0
"cheekcut" 1 0
"cheer" 5 6
"chessboard" 1 0
"chest" 8 2
"chestplate" 0 1
"chicken" 0 1
"chickenthoros" 1 0
"child" 26 12
"childhood" 1 0
"children" 44 8
"childtyrion" 1 0
"chimneyberic" 1 0
"chin" 1 1
"choice" 11 11
"choicealliser" 1 0
"choiceellaria" 0 1
"choicestheon" 0 1
"choke" 2 1
"choose" 12 8
"chop" 9 2
"chose" 5 8
"chosen" 4 7
"chrissen" 1 0
"chronicle" 1 0
"chuckle" 6 6
"church" 2 0
"churned" 1 0
"circle" 5 0
