word,freq
true,1
trust,1
twice,1
type,1
undo,1
undone,1
unimportant,1
unless,1
uphold,1
visited,1
waist,1
wait,1
waitsomething,1
watchint,1
watchramsay,1
watchsansa,1
watchtheon,1
water,1
welcome,1
whew,1
whos,1
wild,1
wildling,1
winetheon,1
winterfellbrienne,1
winterfellint,1
winterfellthe,1
wipes,1
wish,1
without,1
womanramsay,1
women,1
wooden,1
word,1
work,1
world,1
wouldnt,1
yanks,1
years,1
yescut,1
youll,1
young,1
